label,duration,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,file,strain
flat,0.0732,46300,46300,46300,46300,46300,46300,45800,45800,,,,45800,,,44900,44900,44400,,,,43900,43400,,,,,,,,,,,,42400,,41900,,,,,,,,41900,41500,41900,41900,41900,,,T0000085,SD
flat,0.0957,,,,,,,,,39500,40000,40000,40000,40000,40000,40500,40500,40500,40500,41000,40500,40500,41000,40500,41000,41000,41000,41000,41000,41000,41500,41000,41000,41500,41500,41500,41500,41500,41500,41000,41000,41000,41000,41000,40500,41000,40500,40000,40000,39500,,T0000085,SD
flat-z,0.1146,,48300,48300,,,,47300,47300,47300,46800,46800,46300,,43900,43900,43900,43900,43900,43900,43900,43900,43400,,,,,,40000,,,,79500,79100,79100,,,,,78600,,,,,,,,,,,,T0000085,SD
flat-z,0.0496,,,,,,,48300,47300,47300,47300,47300,47300,47300,46800,,,,,,,,,,43400,43400,43400,42900,42900,42900,42900,42900,42400,42400,42900,42400,42400,42900,42400,42400,42400,42400,42900,42400,42400,42400,42400,42400,42400,42400,42400,T0000085,SD
flat,0.064,43400,42900,42900,42900,42900,42900,42400,42400,42400,42400,,42400,41900,41900,41900,41900,41900,41900,41500,41900,41900,41500,41500,41500,41500,41000,41000,41000,,,,,81500,81500,81500,81500,81500,81500,81500,41500,81000,41500,41500,80500,80500,41000,40500,,,40000,T0000085,SD
flat-mz,0.0399,44400,44400,44900,44400,45400,45400,46300,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,46800,44900,44400,43900,43900,44400,44400,44400,,T0000085,SD
flat-z,0.0614,47800,47800,47800,47800,47800,47800,47800,47300,47800,47300,47300,47300,47300,47300,46800,46800,46800,46800,46800,46800,43400,43400,43400,42900,42900,42900,42900,42900,42900,42900,42400,42400,42400,42400,41900,41900,41900,41900,41900,41500,41500,41500,41500,41500,41500,41000,41000,,41000,,T0000085,SD
flat,0.0834,,44400,44900,45800,46300,46300,45800,,43900,43900,43400,42900,,42900,42400,42400,42400,42400,42400,41900,,,,,,,,,,41500,41000,41900,41500,,,,41000,,,,41500,41000,41000,40500,,,40000,,,,T0000085,SD
flat,0.0537,,,42900,,,,42900,,,,,,42900,,,42900,42400,,,,,,41900,41900,41900,,,,,,,,42400,41500,41500,41500,41500,41500,41500,41500,41500,41500,41000,41000,,,,,,,T0000085,SD
flat,0.0834,,,,42400,41900,41900,,41900,41500,41500,41500,41500,41500,41000,41000,41000,,41000,41000,,,,,,41000,41000,41000,41000,41000,41500,41500,41500,41500,41500,41500,41500,41500,41500,41000,41000,41000,41000,41000,41000,41000,40500,40500,40500,40000,,T0000085,SD
flat,0.0819,,,,,,42400,,,41900,41900,41500,41900,41900,41900,,,,,,,,,,,,,41000,,,,,,40500,,,,,,,,,,41500,,41500,41500,41500,41900,41900,,T0000085,SD
flat,0.0757,,41900,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,41900,,,,,,,,,,,,,41000,41500,41000,,,41000,41000,41000,41500,,41000,41000,41000,,,41500,41500,41500,41500,41500,41500,41000,41000,,,T0000085,SD
flat,0.0834,,,,,17500,,,,,41000,,,,41000,41500,41000,41000,,41000,,,,,,,,,,,,,,,,,,,,,,,,,,,39500,,,,,T0000085,SD
flat,0.067,,,,,,41500,41500,,41500,,41500,41500,41500,41900,41500,41500,41500,41500,41500,41500,41500,41500,41000,41000,,,41000,,,,,,,41000,41000,41000,41000,41000,41000,41000,41000,41000,41500,41000,41500,41000,41900,42400,42400,42400,T0000085,SD
short,0.0076,,,,,,,,49300,49300,49300,,,,,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49800,49800,49800,49300,49300,49300,49300,,,,49300,49300,49300,49300,49300,49300,,T0000085,SD
short,0.0056,42400,42400,42400,42400,42400,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,,,,,,,,,,T0000085,SD
flat-z,0.0517,49300,49300,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,50200,50200,50200,50200,50200,50200,50200,49800,49800,49800,49300,49300,,,,,,,,,,,,,,,,,,,,,41900,42400,42400,42400,42400,T0000085,SD
flat,0.0122,49300,49300,49300,49800,49800,49300,49300,49300,49300,49800,49800,49800,49800,49300,49300,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,,,49300,49300,,,,,49300,49300,,T0000085,SD
flat,0.0199,,,,,,,,41900,41900,41900,41900,41900,41900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000085,SD
flat,0.0542,,,52200,52200,52200,,51200,51700,,,,,,,,,,,,,,,,,,,,,50200,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50200,,,,50200,50200,50700,50700,50700,50700,50200,T0000085,SD
flat,0.0839,,42900,42900,42900,42900,42400,,41900,41900,41500,,41500,41900,41900,41500,41500,41000,,,,,,,41000,41000,41000,41000,41000,41000,41500,41000,41000,,41900,41000,,,,,,,,,,41000,41000,41000,,40000,,T0000085,SD
flat,0.1157,,,42400,,,,42400,42400,42400,42400,41900,41900,41900,41900,41500,,,,,,,,,,,,,,,,41900,41900,41000,41500,41500,41500,41500,41500,,,,,,,,,,41900,40500,40500,T0000085,SD
flat,0.0604,,40500,40500,41000,41000,41000,41000,41000,,,41000,41000,41000,41500,41500,41500,41500,41000,,41000,41500,41500,41900,,,,,,,41000,,,41000,41000,41500,41500,41000,41000,,,,,,,,,41000,41000,41000,40500,T0000085,SD
flat-z,0.0491,41900,41900,41900,41900,41900,41900,41900,41900,42400,42400,42400,41900,41900,42400,41900,,42400,,,,,,,,,,47800,48300,48300,48300,48300,48300,48800,48300,48300,48800,48800,48300,48800,48800,48800,48300,48300,48800,48800,48300,48300,,48300,48300,T0000085,SD
flat,0.0481,,,41500,41900,41900,41900,41500,41900,41900,41900,41900,41500,41500,41900,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,T0000085,SD
flat,0.0486,,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42400,42400,,41900,,,42900,41900,41900,42900,42900,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,41900,42400,42400,42400,42900,42900,43400,43900,43900,,T0000085,SD
flat,0.0286,47800,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48800,48300,48300,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,T0000085,SD
flat,0.0327,49300,49300,49300,49800,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49800,49300,49300,49300,49300,,T0000085,SD
