"","mean_f","var_f","diff.range","trend","max.jump","corr.decay","above_mean","duration","label","CallClass"
"65",71863.5928877809,2878243.67400278,4017.63501434975,107.556624001129,2400,-0.00226973995971382,22,-5.65499231048677,"short-ur","2"
"67",46019.1463171819,153349.028001383,1401.115501123,19.9796703330922,-900,-0.00152042879178467,15,-3.17246945205404,"flat","1"
"68",40987.3816826713,50854963.7198885,45650.92875433,-75.0321656365694,10574.5692337551,-0.000350998735281415,32,-2.37946613733,"flat","1"
"70",41133.9629484626,10211101.2085512,11797.5058382277,-215.051924021426,-1500,-0.00235918416928345,20,-2.47218787738023,"flat","1"
"71",49302.6578796092,360784.610381838,1900,33.8588008131504,500,-0.00187524969997033,18,-4.08637639257292,"flat harmx","1"
"72",47879.8883749703,2232283.05282641,5397.06464305219,91.8546477388471,-1215.88996950867,-0.0021327861333211,23,-3.34387231504289,"flat","1"
"73",41077.3415818686,312645.20602128,1900,-33.5453283996301,-500,-0.00189115086618735,16,-2.50838000597364,"flat harmx","1"
"74",48840,386122.448979592,2000,40.5762304921971,500,-0.00227807494408,20,-3.75075485783202,"flat  harmx","1"
"75",42989.1192201385,2213901.57855661,4764.39808437155,-96.0619307963271,-1372.63613386336,-0.00225029684661371,21,-3.18447439815087,"flat-z","1"
"77",40622.0025509198,675143.410383959,3497.11732729985,-53.4172043742545,671.843072702184,-0.00223293513903337,17,-2.49012021684089,"flat","1"
"78",40748.5721092383,2111525.12239442,5900,-79.7296632785187,-1500,-0.00164494565909655,12,-2.00174003401598,"flat-z  harm","1"
"79",47855.2036502739,6918690.17543288,11804.681503684,175.918380623554,1818.27292898519,-0.00232675732742194,22,-3.51998091765212,"flat","1"
"83",42616.8263129215,419443.095432858,1755.1478601538,-42.3803706364378,500,-0.00232920231113284,20,-3.16060691674423,"flat","1"
"84",39208.9605115077,839825.03500779,3665.50376466969,-44.2087215649002,-1165.50376466969,-0.00141498603064907,17,-2.74109005518041,"flat","1"
"90",41936.9575014394,22384163.9848829,27964.9883016698,-241.736595579672,13032.6160124902,-0.00141024771635215,21,-1.70265029415628,"flat","1"
"91",42142.9218341666,2064199.85904424,4900,-72.1676656107032,-2000,-0.00148958783027656,11,-1.96468530438165,"flat","1"
"92",48320.9032121356,2175069.71634115,5329.0469210876,99.9979646213562,1027.22780023622,-0.00240697879443609,26,-3.89222037813197,"flat","1"
