"f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50","duration","label","file","strain"
45136.7702771062,44400,44900,45800,46300,46300,45800,44708.2255072597,43900,43900,43400,42900,42935.4186063579,42900,42400,42400,42400,42400,42400,41900,41535.257212792,41449.6161286203,41565.4755077803,41805.2341105674,42091.290697277,42346.0440282044,42491.892863645,42451.2359638942,42146.4720892474,41500,41000,41900,41500,40951.8334736732,40728.709834825,40766.2312785643,41000,41348.2808260396,41659.9891107854,41766.7028401386,41500,41000,41000,40500,39852.5351640771,39552.5351640771,40000,41594.9296718458,44737.3241796146,47855.4816287188,0.0834,"flat","T0000085","SD"
41723.7945579873,41703.5859468229,41683.3773356584,42400,41900,41900,42015.4270296765,41900,41500,41500,41500,41500,41500,41000,41000,41000,40991.0487830292,41000,41000,40997.6865270138,40996.2489883263,40995.7244751094,40996.1500785348,40997.5628897744,41000,41000,41000,41000,41000,41500,41500,41500,41500,41500,41500,41500,41500,41500,41000,41000,41000,41000,41000,41000,41000,40500,40500,40500,40000,40733.572610927,0.0834,"flat","T0000085","SD"
40371.6920912061,41900,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,41900,41304.1932217349,40763.7494969811,40287.5050842826,41350.5472893405,41287.3096972074,41224.0721050743,41160.8345129411,41097.596920808,41034.3593286749,40971.1217365417,40907.8841444086,40348.2570722301,41000,41500,41000,40726.200185055,40826.0127805769,41000,41000,41000,41500,41370.8145415366,41000,41000,41000,41133.4518665398,41350.8253679841,41500,41500,41500,41500,41500,41500,41000,41000,42592.4626606953,41627.2270499386,0.0757,"flat","T0000085","SD"
41561.5464734484,41541.0309822989,41524.6185893794,41512.3092946897,41504.1030982299,41500,41500,41502.5644363937,41500,41490.255141704,41500,41500,41500,41900,41500,41500,41500,41500,41500,41500,41500,41500,41000,41000,41067.4783675864,41048.9524810656,41000,40966.0705624113,40952.1017201574,40952.9030035551,40963.2839429214,40978.054068573,40992.0229108269,41000,41000,41000,41000,41000,41000,41000,41000,41000,41500,41000,41500,41000,41900,42400,42400,42400,0.067,"flat","T0000085","SD"
49300.0000000485,49300.0000000364,49300.000000026,49300.0000000173,49300.0000000104,49300.0000000052,49300.0000000017,49300,49300,49300,49299.999999994,49299.9999999852,49299.9999999794,49299.9999999824,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300.4955789353,49300.5182404162,49300.5409018971,49300,49300,49300,49300,49305.7001431668,49305.4315172715,49302.4471327404,49300,49300,49300,49300,49300,49300,49300.0143028763,0.0076,"short","T0000085","SD"
42400,42400,42400,42400,42400,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,0.0056,"short","T0000085","SD"
49300,49300,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,50200,50200,50200,50200,50200,50200,50200,49800,49800,49800,49300,49300,49330.7353074121,49203.2929967008,48936.599277152,48549.5803580518,48061.1624486859,47490.2717583403,46855.8344963008,46176.7768718534,45472.025094284,44760.5053728784,44061.1439169226,43392.8669357025,42774.600638504,42225.2712346129,41763.8049333151,41409.1279438967,41180.1664756434,41095.8467378412,41175.094939776,41436.8372907336,41900,42400,42400,42400,42400,0.0517,"flat-z","T0000085","SD"
49300,49300,49300,49800,49800,49300,49300,49300,49300,49800,49800,49800,49800,49300,49300,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49658.0252399563,49445.2136821829,49300,49300,49318.2441035677,49321.7041921753,49316.0422289992,49306.9201772153,49300,49300,49307.8638377447,0.0122,"flat","T0000085","SD"
52776.5782864344,52595.4687470042,52200,52200,52200,51604.5117258649,51200,51700,52262.1020041947,52641.8932793032,51633.4574975108,51519.1454186184,51404.8333397261,51290.5212608337,52463.5863769741,52143.9518726183,51773.4861708605,51370.9720619414,50955.1923361017,50544.9297835818,50158.9671946225,49816.0873594643,49535.0730683478,49334.7071115138,49233.7722792026,49251.0513616551,49405.3271491117,49715.3824318131,50200,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50200,49942.6522642687,49997.0325767227,50152.8966008153,50200,50200,50700,50700,50700,50700,50200,0.0542,"flat","T0000085","SD"
42853.4500958847,42900,42900,42900,42900,42400,42004.4655738187,41900,41900,41500,41310.1779804986,41500,41900,41900,41500,41500,41000,40571.6708407366,40395.6057956643,40406.1122281213,40537.4975014454,40724.0689789746,40900.1340240468,41000,41000,41000,41000,41000,41000,41500,41000,41000,41664.9200911358,41900,41000,40148.3884902369,39646.278601745,39433.5748523612,39450.1817599224,39636.0038422655,39930.9456172273,40274.9116026448,40607.8063163548,40869.5342761942,41000,41000,41000,40757.1186728741,40000,39974.1806638386,0.0839,"flat","T0000085","SD"
