"mean_f","var_f","diff.range","trend","max.jump","corr.decay","above_mean","duration","label"
40195.5242307217,872849.156150073,3023.2950526986,-61.1638670895931,-500,-0.00229336721784867,20,-2.23492644452023,"flat"
39922.1161822316,428237.331221813,3000,-27.4529659819469,-1500,-0.00102846215423587,32,-2.29461692334487,"flat"
50443.613995337,53652932.37923,34588.09222706,172.984762094025,-5493.3977891104,-0.000558156757608894,14,-2.37946613733,"flat"
41807.6458170818,676070.387073639,3076.3295191665,-31.5275289280866,-1695.315328278,-0.00117903665080702,26,-2.5408422821183,"flat"
48063.5944248798,332267.185614968,3825.4239132351,-14.499511789965,-2109.198861821,-0.000467627795710582,19,-2.84215318562569,"flat"
39131.4197654927,281634.641086053,3142.7451117202,-20.3125692679157,-541.739566071999,-0.000844822789416908,26,-3.40520540305969,"flat"
39908.5794707882,263285.835073005,1666.621955604,-32.2444338481489,500,-0.00208480858494336,34,-2.96229749746775,"flat"
50775.6318080875,3030104.28385077,5400,-113.996306989782,791.017812012098,-0.00237945195458466,23,-2.54720767598538,"flat"
54798.001463028,400175.952792171,1985.5303182794,36.2256675612828,1295.4105853067,-0.00173676538318949,26,-4.02295456613543,"flat"
50708.903684846,1523689.84863433,3832.3602466817,-83.5743912690069,-500,-0.0024461909170213,20,-3.4514385980989,"flat"
48546.3972244298,41896013.1256441,23975.7260389713,404.705775281199,-4954.5546007549,-0.00211794927494379,31,-3.37260992481024,"step up"
40606.4383615114,376602.935885452,1920.2123365062,-39.7756845311069,500,-0.00226405576394699,20,-2.70306265959117,"flat"
41237.1332336054,2649595.05274527,7527.2775679697,-58.4995931439152,4129.6267343687,-0.000758609395012602,18,-1.5635089805457,"flat-z"
40538,733424.489795918,3400,-44.6818727490999,900,-0.00144535990647297,16,-1.65600554825044,"flat"
39678.5668722408,1303835.50235634,3865.0283665296,45.0945411248043,-1000,-0.00122199487683691,20,-1.51140417216273,"flat"
40091.3739710892,182946.469219093,1787.6935065376,17.7155802843642,1000,-0.00124285727595693,20,-2.14387340183922,"flat"
39349.292372842,1745627.84785355,11559.3300142012,-10.334142869789,-7121.743418407,-0.000279235904642807,33,-2.19732458233655,"flat"
41995.6988083659,7498472.43773621,14935.9289534579,-108.409189113565,10609.4325791504,-0.00096957364813859,12,-2.0643559042618,"flat"
39678.9255229141,811832.135661047,3173.0158112146,-55.1812789440279,1000,-0.00192648424148609,23,-1.96468530438165,"flat"
42577.095290526,288348.125689003,2205.3010768371,14.6597071996295,-1058.3921716427,-0.00077716031328985,22,-2.46628118566484,"flat"
46340.0293238332,567283.981777485,4929.6930542751,2.1130541000343,1901.8780783797,-0.000218335719033391,20,-2.61455985801487,"flat-mz"
45512.8266624453,36910993.7965431,30852.9479061906,-87.8633252806493,7855.9201262412,-0.000436243588377598,18,-2.84215318562569,NA
42680.5946212193,163420.795583021,1216.0544560453,-21.745867621853,-500,-0.00173132636041636,19,-3.37260992481024,"flat"
45147.369928935,504183.540352061,2141.5280335119,-41.4860330045856,-500,-0.00200176760041386,21,-3.83970234384852,"flat"
50939.3957671576,229092.161134546,2000,23.3045974572228,-500,-0.00145858765972685,19,-3.22137895508632,"flat"
40974,412167.346938776,1900,-34.280912364946,-500,-0.00169443655761338,23,-2.26915031690781,"flat"
40023.5076482096,693300.708945664,3559.8242961536,13.4774400596406,1146.3386826265,-0.000526347994292379,20,-1.26019048432416,"flat"
40075.7356618452,76707.488285479,1000,-8.66495214785861,-713.2169077379,-0.000736873520930144,12,-2.3258537199334,"flat"
57066.1373374859,425960278.687321,54258.324214518,1161.40324262659,42000,-0.00179844242984006,21,-2.37946613733,"flat"
41758.895393394,103116.179539001,965.187997444002,12.7591981017889,500,-0.00121260889909244,23,-3.40520540305969,"flat"
41705.0536801835,944294.002892477,3900,-46.5723742426625,-1116.1645202728,-0.00153550585099817,22,-3.03447310187042,"flat"
45303.8347256724,19565536.144003,13700,-292.952971031234,-1350.00041263711,-0.00233941890552949,28,-1.98631556369035,"flat-z"
44321.4454212571,8662623.94533146,8796.1533109957,-167.606338520077,-1000,-0.00191528085624469,16,-2.47812966550898,"flat-z"
45234.9292097006,8113136.82373881,10472.0539874357,100.590353551457,807.9329485856,-0.00109107185971095,21,-2.74109005518041,"flat"
52733.1515140093,9235772.57805801,16394.9698155331,-36.5376900372827,3718.8875792093,-0.00033518074601067,23,-3.34387231504289,"flat"
46350.401540798,1736194.17326343,5103.1806928306,26.7440653443421,1544.5663472337,-0.000651478351097522,27,-2.34132592131048,"flat-z"
43689.757774597,72490.8379966892,1003.6333810447,-14.8403871688731,500,-0.00180419447213689,28,-3.91703554725169,"flat"
40617.2475931099,1713156.97295209,5148.1799018055,-1.87467951767593,-1475.5863034418,-0.000399191576150217,23,-1.5635089805457,"flat"
51347.087064357,137083.385775323,1456.4848712983,14.4235558059162,500,-0.000900749557291997,21,-2.79852210426629,"flat"
38500,0,0,0,0,3.694335196903e-17,0,-2.89679232569909,"flat"
45633.0799147375,375023.547103883,2433.8734034417,31.9863311673905,533.873403441699,-0.00159202424157558,17,-2.67220054820851,"flat"
42985.5572738946,435097.364405099,2500,-38.3844230521364,1000,-0.00192387194243606,22,-4.08637639257292,"flat"
52055.5632183908,666767.971937086,2721.8390804597,-52.2386609816339,500,-0.00226939456892984,31,-4.31999124375443,"flat"
43780.1996446988,2657450.81530374,5400,98.9110762605809,-1189.7166495977,-0.00204892082638879,21,-3.86800612001137,"flat-z"
72583.3950707526,1398251.14506246,3723.7740327365,78.4203586474687,1000,-0.00239665229028815,27,-5.27851473925186,"short-su"
52299.490481394,3083786.33091742,5800,115.794382405101,1000,-0.00234750145399591,29,-4.31999124375443,"inverted-u"
50119.7958298291,7508958.37225555,8938.1511597741,-98.5642627547535,-5800,-0.000964232535758046,41,-2.02041820123037,"flat-z"
41759.8082394433,8496463.11625625,19973.5312857849,-78.1652721274991,-11236.7656428925,-0.000469410552396654,44,-1.71646648519262,"flat"
45990.9321749552,19222520.1922825,12265.0434391803,-262.542111679888,-4900,-0.00208450126598196,19,-2.07624665078332,"flat-z"
44257.5879419283,4338021.61406318,6900,-124.255553000877,-1400,-0.00198209024553784,16,-2.44184716032755,"flat-z"
43137.9972049481,471694.772734834,2887.1314600408,-23.8469876607703,2221.4623940904,-0.00106584212367005,19,-2.33098456751574,"flat"
44200.6580766611,432930.10440004,2703.5157741932,26.8151394655521,703.515774193198,-0.00105630149053182,24,-2.85076650330381,"flat"
43910.7368749862,19989530.8707568,16565.3207824858,191.499208949317,1432.0790027279,-0.00125076559521258,13,-2.69562768110365,"flat"
41274.4859465372,630880.028542521,4567.9493046538,-23.7536942953042,2445.29953643589,-0.000849851490460594,28,-2.0971982632691,"flat"
59150.2931091436,421105896.138207,60000,36.3195634823354,60000,-0.000347597463975278,27,-2.12695252435089,"flat"
59249.281822938,382381566.537057,49901.1757116692,-923.673301493805,-42775.0776288308,-0.00144291386991344,25,-2.07226733793184,"flat"
51984.0962991853,6004183.73375764,9959.3786640034,-13.0726209215657,-3123.7315153833,-0.000541309429304209,28,-4.49184150068109,"short-c"
53343.7139223415,336006429.988166,40034.9202846094,-589.076486902911,-38600,-0.000700929846294054,22,-1.99436536932472,"flat"
45338.4161131539,319257146.755601,56198.2398175639,-895.729266167028,-38600,-0.00141215373764386,12,-2.24054970207459,"flat"
58158.4045214185,739512284.854095,77943.6716736462,-570.103295268008,38100,-0.000580829967980587,21,-2.26915031690781,"flat"
